id,genre
328,History
328,Romance
328,War
329,Animation
329,Comedy
329,Family
329,Sport
330,Comedy
330,Sci-Fi
330,Thriller
331,Drama
331,History
331,War
332,Comedy
333,Action
333,Adventure
333,Sci-Fi
334,Comedy
334,Drama
334,Romance
335,Adventure
335,Animation
335,Comedy
335,Family
335,Romance
336,Adventure
336,Animation
336,Comedy
336,Family
337,Drama
337,Family
337,Fantasy
337,Romance
338,Drama
338,Fantasy
338,Thriller
339,Adventure
339,Animation
339,Comedy
339,Family
340,Action
340,Adventure
340,Drama
340,Fantasy
341,Action
341,Adventure
341,Drama
341,Fantasy
342,Action
342,Adventure
342,Fantasy
343,Action
343,Adventure
343,Fantasy
343,Thriller
344,Drama
344,Mystery
344,Romance
344,Sci-Fi
344,Thriller
345,Action
345,Adventure
345,Sci-Fi
345,Thriller
346,Action
346,Drama
346,Sci-Fi
346,Thriller
347,Adventure
347,Family
347,Fantasy
348,Action
348,Thriller
349,Drama
349,History
349,War
349,Western
350,Action
350,Adventure
350,Animation
350,Family
351,Action
351,Adventure
351,Comedy
352,Adventure
352,Family
352,Fantasy
353,Adventure
353,Comedy
353,Family
353,Mystery
353,Sci-Fi
354,Adventure
354,Animation
354,Comedy
354,Family
354,Fantasy
355,Action
355,Thriller
356,Action
356,Comedy
356,Crime
356,Thriller
357,Drama
357,Fantasy
357,Horror
357,Mystery
357,Thriller
358,Animation
358,Comedy
358,Family
358,Sci-Fi
359,Action
359,Adventure
359,Animation
359,Comedy
359,Family
360,Adventure
360,Comedy
360,Drama
360,Fantasy
360,Romance
361,Action
361,Adventure
361,Comedy
361,Crime
361,Thriller
362,Crime
362,Drama
362,Thriller
363,Adventure
363,Animation
363,Family
363,Fantasy
363,Musical
363,War
364,Action
364,Comedy
365,Crime
365,Drama
365,Mystery
365,Thriller
366,Action
366,Adventure
366,Thriller
367,Action
367,Adventure
367,Crime
367,Mystery
367,Thriller
368,Adventure
368,Drama
368,History
369,Action
369,Adventure
369,Animation
369,Family
369,Fantasy
369,Sci-Fi
370,Adventure
370,Animation
370,Comedy
370,Family
370,Fantasy
370,Music
371,Drama
371,History
371,Thriller
371,War
372,Action
372,Comedy
373,Action
373,Animation
373,Comedy
373,Sci-Fi
374,Adventure
374,Drama
374,Sci-Fi
375,Comedy
375,Family
375,Fantasy
375,Horror
375,Mystery
376,Drama
376,Mystery
376,Sci-Fi
376,Thriller
377,Action
377,Horror
377,Sci-Fi
377,Thriller
378,Crime
378,Mystery
378,Thriller
379,Adventure
379,Family
379,Fantasy
380,Action
380,Adventure
380,Fantasy
381,Action
381,Adventure
381,Comedy
381,Crime
381,Mystery
381,Thriller
382,Action
382,Adventure
382,Romance
382,Sci-Fi
382,Thriller
383,Action
383,Crime
383,Thriller
384,Adventure
384,Sci-Fi
384,Thriller
385,Adventure
385,Animation
385,Comedy
385,Family
385,Musical
386,Comedy
386,Drama
386,Sci-Fi
387,Action
387,Drama
387,Sci-Fi
387,Thriller
388,Action
388,Crime
388,Drama
388,Thriller
389,Drama
389,History
389,Thriller
389,War
391,Adventure
391,Fantasy
392,Biography
392,Drama
392,Sport
393,Action
393,Family
393,Fantasy
393,Musical
394,Drama
394,History
394,Sport
395,Action
395,Adventure
395,Drama
395,Thriller
397,Adventure
397,Drama
397,Romance
398,Animation
398,Comedy
398,Family
398,Music
398,Romance
399,Action
399,Mystery
399,Thriller
400,Action
400,Adventure
400,Drama
400,Thriller
401,Crime
401,Thriller
402,Action
402,Adventure
402,Romance
403,Animation
403,Comedy
403,Family
403,Fantasy
404,Animation
404,Comedy
404,Family
404,Fantasy
404,Musical
404,Romance
405,Crime
405,Drama
405,Horror
405,Mystery
405,Thriller
406,Action
406,Crime
406,Mystery
406,Thriller
407,Adventure
407,Comedy
407,Family
408,Action
408,Comedy
408,Crime
409,Comedy
409,Romance
410,Action
410,Crime
410,Drama
410,Mystery
410,Thriller
411,Comedy
411,Drama
411,Romance
412,Crime
412,Thriller
413,Adventure
413,Animation
413,Comedy
413,Family
414,Adventure
414,Mystery
414,Sci-Fi
415,Drama
415,History
415,War
416,Action
416,Adventure
416,Comedy
416,Thriller
417,Action
417,Adventure
417,Comedy
417,Fantasy
418,Drama
418,Romance
419,Action
419,Crime
419,Thriller
420,Adventure
420,Animation
420,Comedy
420,Family
420,Fantasy
421,Drama
421,Fantasy
421,Romance
422,Action
422,Drama
422,Thriller
423,Comedy
423,Drama
423,Music
423,Musical
424,Adventure
424,Comedy
424,Drama
424,Family
424,Fantasy
425,Action
425,Comedy
425,Fantasy
425,Romance
426,Action
426,Adventure
426,Sci-Fi
426,Thriller
427,Comedy
427,Romance
427,Sci-Fi
428,Adventure
428,Comedy
428,Mystery
429,Action
429,Sci-Fi
430,Comedy
430,Drama
430,Fantasy
430,Romance
431,Comedy
431,Fantasy
431,Horror
432,Action
432,Comedy
432,Family
432,Fantasy
433,Action
433,Adventure
433,Sci-Fi
433,Thriller
434,Action
434,Adventure
434,Fantasy
434,Horror
434,Sci-Fi
435,Crime
435,Drama
435,History
435,Mystery
435,Thriller
436,Action
436,Mystery
436,Sci-Fi
436,Thriller
437,Comedy
437,Drama
438,Action
438,Adventure
438,Thriller
439,Action
439,Adventure
439,Thriller
440,Adventure
440,Drama
440,Sci-Fi
440,Thriller
441,Comedy
442,Action
443,Adventure
443,Animation
443,Comedy
443,Family
444,Adventure
444,Animation
444,Comedy
444,Drama
444,Family
444,Fantasy
444,Sci-Fi
445,Comedy
445,Family
445,Fantasy
446,Action
446,Drama
446,Romance
446,Sci-Fi
446,Thriller
447,Action
447,Comedy
447,Crime
447,Thriller
448,Comedy
448,Crime
448,Sport
449,Adventure
449,Animation
449,Comedy
449,Family
449,Fantasy
449,Music
450,Comedy
451,Action
451,Adventure
451,Comedy
452,Comedy
452,Drama
452,Romance
453,Mystery
453,Thriller
454,Comedy
454,Drama
454,Romance
455,Adventure
455,Animation
455,Comedy
455,Family
455,Sci-Fi
456,Action
456,Crime
456,Sci-Fi
456,Thriller
457,Comedy
457,Family
457,Fantasy
457,Romance
458,Crime
458,Drama
458,Thriller
459,Comedy
459,Romance
460,Action
460,Adventure
460,Crime
460,Drama
460,Sci-Fi
460,Thriller
461,Action
461,Crime
461,Thriller
462,Action
462,Mystery
462,Thriller
463,Adventure
463,Drama
463,History
463,Romance
463,War
464,Action
464,Adventure
464,Drama
464,Thriller
465,Comedy
465,Family
465,Sci-Fi
466,Fantasy
466,Horror
466,Mystery
466,Thriller
467,Adventure
467,Animation
467,Comedy
467,Family
467,Fantasy
467,Sci-Fi
467,Sport
468,Adventure
468,Comedy
468,Crime
468,Family
468,Mystery
469,Drama
469,Sci-Fi
469,Thriller
470,Action
470,Crime
470,Mystery
470,Romance
470,Thriller
471,Action
471,Drama
471,War
472,Action
472,Adventure
472,Comedy
472,Romance
473,Adventure
473,Animation
473,Comedy
473,Family
474,Adventure
474,Animation
474,Family
474,Western
475,Comedy
475,Family
475,Romance
476,Action
476,Adventure
476,Family
476,Sci-Fi
476,Thriller
477,Drama
477,Mystery
477,Sci-Fi
477,Thriller
478,Drama
478,Romance
479,Animation
479,Comedy
479,Family
479,Fantasy
480,Comedy
480,Family
480,Fantasy
481,Animation
481,Family
481,Fantasy
481,Music
482,Action
482,Adventure
482,Sci-Fi
483,Action
483,Adventure
483,Family
483,Fantasy
483,Thriller
484,Action
484,Crime
484,Thriller
485,Action
485,Adventure
485,Western
486,Drama
486,Fantasy
486,Romance
487,Comedy
487,Fantasy
488,Action
488,Adventure
488,Comedy
488,Fantasy
488,Thriller
489,Action
489,Comedy
489,Sci-Fi
490,Drama
490,Horror
490,Mystery
490,Sci-Fi
491,Action
491,Adventure
491,Drama
491,Thriller
492,Action
492,Sci-Fi
492,Thriller
493,Drama
493,History
493,Thriller
494,Action
494,Adventure
494,Drama
494,Thriller
495,Adventure
495,Animation
495,Family
496,Action
496,Adventure
496,Sci-Fi
497,Adventure
497,Animation
497,Comedy
497,Family
497,Fantasy
497,Sci-Fi
498,Drama
498,Musical
498,Romance
499,Action
499,Adventure
499,Sci-Fi
500,Action
500,Adventure
500,Drama
500,Sci-Fi
501,Adventure
501,Comedy
501,Drama
501,Family
501,Fantasy
502,Action
502,Adventure
502,Fantasy
503,Action
503,Sci-Fi
503,Thriller
504,Adventure
504,Animation
504,Family
504,Fantasy
505,Documentary
505,Drama
506,Action
506,Adventure
506,Horror
506,Sci-Fi
506,Thriller
507,Action
507,Adventure
507,Drama
507,History
507,Romance
508,Animation
508,Family
509,Biography
509,Drama
510,Adventure
510,Animation
510,Drama
510,Family
510,Musical
511,Action
511,Adventure
511,Comedy
511,Family
511,Fantasy
511,Sci-Fi
512,Animation
512,Comedy
512,Family
512,Fantasy
512,Sci-Fi
513,Crime
513,Drama
513,Thriller
514,Action
514,Adventure
514,Western
515,Comedy
516,Action
516,Crime
516,Thriller
517,Adventure
517,Animation
517,Drama
517,Family
517,Fantasy
518,Sci-Fi
518,Thriller
519,Adventure
519,Animation
519,Comedy
519,Family
519,Fantasy
520,Animation
520,Comedy
520,Family
521,Action
521,Adventure
521,Fantasy
521,Sci-Fi
522,Animation
522,Comedy
522,Family
522,Sci-Fi
523,Action
523,Adventure
523,Sci-Fi
524,Action
524,Adventure
524,Sci-Fi
525,Adventure
525,Animation
525,Comedy
525,Family
526,Drama
526,Sci-Fi
526,Thriller
527,Action
527,Adventure
527,Sci-Fi
528,Action
528,Crime
528,Fantasy
528,Thriller
529,Action
529,Adventure
529,Thriller
530,Action
530,Adventure
530,Animation
530,Comedy
530,Family
530,Fantasy
531,Comedy
531,Romance
532,Comedy
532,Drama
532,Family
532,Music
532,Musical
532,Romance
533,Horror
533,Mystery
533,Thriller
534,Action
534,Adventure
534,Comedy
534,Family
534,Sci-Fi
535,Crime
535,Mystery
535,Thriller
536,Comedy
537,Comedy
537,Drama
538,Drama
538,Fantasy
538,Horror
538,Thriller
539,Comedy
539,Family
540,Action
540,Adventure
540,Drama
540,Thriller
541,Biography
541,Comedy
541,Drama
541,History
542,Adventure
542,Animation
542,Comedy
542,Family
543,Drama
543,Music
543,Musical
544,Crime
544,Drama
544,Mystery
545,Comedy
545,Crime
545,Music
546,Drama
546,History
546,Thriller
547,Action
547,Drama
547,Thriller
547,War
548,Action
548,Comedy
548,Romance
548,Thriller
549,Action
549,Adventure
549,Comedy
550,Comedy
550,Drama
550,Romance
551,Animation
551,Comedy
551,Family
551,Fantasy
551,Mystery
552,Comedy
552,Crime
552,Drama
552,Romance
553,Action
553,Adventure
553,Romance
553,Thriller
554,Drama
554,History
554,Romance
555,Action
555,Drama
555,Fantasy
555,Romance
556,Action
556,Crime
556,Drama
556,Mystery
556,Thriller
557,Action
557,Adventure
557,Animation
557,Family
557,Sci-Fi
558,Action
558,Comedy
558,Crime
558,Thriller
559,Action
559,Drama
559,Sci-Fi
560,Drama
560,Horror
560,Sci-Fi
560,Thriller
561,Animation
561,Comedy
561,Fantasy
562,Action
562,Adventure
562,Drama
562,Thriller
563,Drama
563,Mystery
563,Sci-Fi
563,Thriller
564,Action
564,Animation
564,Comedy
564,Family
564,Sci-Fi
565,Action
565,Fantasy
566,Crime
566,Mystery
566,Thriller
567,Drama
567,Mystery
567,Sci-Fi
567,Thriller
568,Action
568,Animation
568,Comedy
568,Family
569,Action
569,Adventure
569,Comedy
569,Romance
569,Thriller
570,Comedy
570,Drama
571,Action
571,Drama
571,Thriller
572,Action
572,Comedy
572,Sport
573,Comedy
573,Family
573,Fantasy
574,Biography
574,Drama
574,History
574,War
575,Action
575,Drama
575,War
576,Adventure
576,Animation
576,Comedy
577,Drama
577,Romance
578,Action
578,Drama
578,Sport
579,Adventure
579,Drama
579,Family
580,Drama
580,Mystery
580,Romance
580,Thriller
581,Comedy
581,Family
581,Fantasy
582,Drama
582,Sci-Fi
582,Thriller
583,Adventure
583,Animation
583,Comedy
583,Family
583,Fantasy
583,Romance
584,Adventure
584,Animation
584,Comedy
584,Family
584,Sport
585,Comedy
585,Romance
586,Action
586,Adventure
586,Thriller
587,Adventure
587,Animation
587,Comedy
587,Family
587,Fantasy
588,Crime
588,Thriller
589,Adventure
589,Drama
589,War
590,Adventure
590,Comedy
590,Family
590,Fantasy
592,Action
592,Thriller
593,Action
593,Adventure
593,Crime
593,Thriller
